🕘️更新时间,#genre#
2025-01-03 17:07:36,http://fys.loip.fun:45/ysptp/cctv8k_36m.m3u8$YSPTP-36M

🗣 超清频道,#genre#
CCTV超高清 8K,http://fys.loip.fun:45/ysptp/cctv8k_36m.m3u8$YSPTP-36M
CCTV超高清 8K,http://fys.loip.fun:45/ysptp/cctv8k_120m.m3u8$YSPTP-120M
CCTV超高清 4K,http://fys.loip.fun:45/ysptp/cctv4k_10m.m3u8$YSPTP-10M
CCTV超高清 4K,http://fys.loip.fun:45/ysptp/cctv4k.m3u8$YSPTP
CCTV奥林匹克 4K,http://fys.loip.fun:45/ysptp/cctv4k16_10m.m3u8$YSPTP-10M
CCTV奥林匹克 4K,http://fys.loip.fun:45/ysptp/cctv4k16.m3u8$YSPTP
CCTV奥林匹克 4K,http://fys.loip.fun:45/itv/5000000008000023254.m3u8?cdn=bestzb$ITV-HEVC
华数 4K,http://fys.loip.fun:45/itv/6000000003000004748.m3u8?cdn=wasusyt$ITV
纯享 4K,http://fys.loip.fun:45/itv/1000000004000011651.m3u8?cdn=ystenlive$ITV
咪咕 4K 1,http://fys.loip.fun:45/itv/3000000010000005180.m3u8?cdn=FifastbLive$ITV
咪咕 4K 2,http://fys.loip.fun:45/itv/3000000010000015686.m3u8?cdn=FifastbLive$ITV
欢笑剧场 4K,http://fys.loip.fun:45/itv/5000000007000010001.m3u8?cdn=bestzb$ITV
北京纪实科教 8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8$GDCUCC
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8$CloudFront
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8$CloudFront
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8$SLIVE

🗣 央视频道,#genre#
CCTV1 综合,http://fys.loip.fun:45/ysptp/cctv1.m3u8$YSPTP-高码
CCTV1 综合,http://fys.loip.fun:45/itv/5000000004000002226.m3u8?cdn=bestzb$ITV-50-FPS
